overall_accuracy,overall_avg_response_time,overall_task_completion_rate,overall_retry_count,overall_hint_count,overall_prompt_dependency_score,overall_idle_time_seconds,overall_invalid_touch_count,copy_me_accuracy,match_it_accuracy,my_turn_your_turn_accuracy,do_what_i_say_accuracy,communication_level,social_level,play_level,attention_level
0.5638,2.5205,0.7364,1,4,0.8429,15,10,0.7915,0.8684,0.322,0.4175,1,0,2,1
0.6994,6.6381,0.6138,5,0,0.3877,21,2,0.6534,0.7188,0.9014,0.4272,1,2,2,1
0.5994,5.2661,0.7109,1,1,0.3782,27,20,0.3835,0.449,0.9055,0.8199,1,2,1,0
0.6463,2.8222,0.5419,0,7,0.5363,39,5,0.8132,0.4592,0.6465,0.6275,2,1,1,1
0.3796,3.0192,0.5399,2,2,0.1235,0,17,0.2364,0.2444,0.8327,0.3457,0,2,0,2
0.3594,9.288,0.3666,5,5,0.4998,9,1,0.645,0.0732,0.0634,0.761,2,0,0,2
0.523,6.9752,0.3893,5,1,0.4351,39,17,0.7502,0.5119,0.1481,0.5035,1,0,1,0
0.5538,2.1897,0.4312,4,5,0.2613,4,12,0.4811,0.4115,0.6675,0.4912,1,1,1,2
0.579,8.3346,0.4932,4,2,0.7305,35,17,0.3427,0.9452,0.5275,0.4583,1,1,2,0
0.3729,5.4302,0.305,6,1,0.145,21,13,0.4564,0.2556,0.355,0.4581,1,0,0,0
0.4773,4.9613,0.4852,2,7,0.1161,29,11,0.7986,0.1339,0.1369,0.7149,2,0,0,1
0.8043,8.3957,0.7822,0,6,0.213,29,4,0.7253,0.8313,0.699,0.9216,2,1,2,1
0.6496,8.2483,0.7587,5,7,0.0249,41,12,0.3808,0.7363,0.5667,0.7765,1,1,2,0
0.3624,5.7082,0.2799,4,0,0.1348,43,11,0.2907,0.2124,0.6824,0.3281,0,1,0,0
0.4244,2.392,0.5178,1,6,0.05,39,11,0.7215,0.2436,0.4278,0.3568,1,1,0,1
0.5153,6.0141,0.4894,4,5,0.2691,38,2,0.6566,0.2949,0.6457,0.4871,1,1,0,1
0.3849,4.183,0.4095,0,8,0.3117,11,3,0.6504,0.0909,0.4057,0.5894,1,1,0,2
0.4793,1.9442,0.5475,5,9,0.0178,4,17,0.2081,0.3922,0.6833,0.5002,0,1,0,2
0.5237,7.9903,0.4674,5,1,0.7904,16,16,0.5682,0.5661,0.6885,0.4259,1,1,1,0
0.5347,3.2654,0.5227,1,5,0.485,17,7,0.81,0.269,0.58,0.5216,1,1,0,1
0.7119,7.8252,0.6394,3,1,0.7222,7,4,0.8653,0.3644,0.7046,0.7871,2,2,0,1
0.6707,8.0575,0.8068,3,1,0.821,28,13,0.7456,0.4947,0.729,0.7339,2,2,1,0
0.2504,2.0973,0.3216,1,10,0.7901,16,9,0.1115,0.448,0.3225,0.2972,0,0,1,0
0.6045,10.0031,0.697,2,4,0.6192,45,9,0.8198,0.6035,0.5064,0.4664,1,1,1,0
0.3078,4.1013,0.4021,3,6,0.4159,25,3,0.1858,0.1057,0.1432,0.8592,1,0,0,2
0.3091,2.1921,0.3747,4,3,0.0898,39,13,0.1929,0.3856,0.3046,0.4179,0,0,0,1
0.7443,11.6608,0.8067,2,5,0.6636,7,7,0.7014,0.6409,0.8657,0.836,2,2,1,0
0.6249,8.6969,0.6611,3,4,0.5001,41,15,0.8942,0.3286,0.389,0.7625,2,0,0,0
0.3465,2.3102,0.3233,1,9,0.8022,11,3,0.3756,0.3763,0.2122,0.2428,0,0,0,2
0.5476,10.2291,0.4538,4,2,0.7325,19,3,0.8016,0.8453,0.084,0.3531,1,0,2,0
0.441,7.1071,0.4178,5,5,0.294,37,9,0.4439,0.4198,0.6587,0.2638,0,1,1,0
0.7514,11.6458,0.7257,4,1,0.776,19,11,0.8016,0.3811,0.9024,0.936,2,2,0,0
0.5322,9.5127,0.6834,5,1,0.2592,43,6,0.275,0.6271,0.8367,0.5491,1,2,1,1
0.4978,3.9757,0.4195,2,0,0.9448,3,10,0.4437,0.9018,0.2498,0.456,1,0,2,1
0.7363,2.9573,0.7443,2,0,0.6703,41,14,0.8877,0.8053,0.635,0.7622,2,1,2,0
0.4595,4.6621,0.4687,2,8,0.0454,6,6,0.1213,0.2803,0.8015,0.5439,0,2,0,2
0.4674,6.007,0.5446,1,4,0.5841,12,3,0.4614,0.1498,0.8646,0.5871,1,2,0,1
0.4559,5.5998,0.4801,4,10,0.4466,49,11,0.6479,0.1271,0.9272,0.1109,0,2,0,0
0.389,4.9914,0.4228,3,9,0.0421,39,15,0.2783,0.0646,0.7597,0.3603,0,2,0,1
0.5389,6.3056,0.6286,0,2,0.2788,3,16,0.2076,0.7512,0.4682,0.6759,1,1,2,1
0.6122,5.2482,0.5713,4,3,0.7418,38,4,0.0877,0.89,0.5138,0.9402,1,1,2,0
0.5676,6.724,0.5248,3,8,0.8781,49,10,0.162,0.3812,0.8505,0.719,1,2,0,0
0.5565,4.7182,0.5322,2,6,0.5725,4,13,0.7044,0.121,0.5922,0.7901,2,1,0,1
0.4635,2.2879,0.3823,2,8,0.6056,49,19,0.3664,0.0881,0.833,0.3673,0,2,0,0
0.6142,5.3464,0.4948,3,5,0.3637,3,16,0.6615,0.9075,0.1785,0.5968,1,0,2,1
0.6791,4.1209,0.704,4,4,0.1078,20,13,0.6612,0.9039,0.3848,0.7368,1,0,2,1
0.3756,6.6576,0.53,5,5,0.1165,14,18,0.3983,0.5555,0.2856,0.2843,0,0,1,1
0.5601,7.1928,0.5054,5,7,0.8468,17,1,0.8588,0.4506,0.129,0.6637,2,0,1,0
0.6573,1.776,0.6454,2,7,0.5263,7,16,0.8846,0.6239,0.7643,0.5079,1,2,1,1
0.4508,10.1451,0.4805,6,7,0.0701,26,15,0.5465,0.6008,0.1276,0.3284,1,0,1,0
0.6074,6.0425,0.6393,0,1,0.8652,9,19,0.455,0.6621,0.3601,0.8402,1,0,1,0
0.3383,4.1314,0.4889,3,1,0.6033,45,17,0.1877,0.1982,0.3404,0.6884,1,0,0,0
0.4333,7.854,0.3277,3,9,0.8004,33,14,0.3225,0.5301,0.5023,0.2018,0,1,1,0
0.3558,6.7294,0.4324,2,11,0.5958,21,13,0.0755,0.0909,0.6273,0.5691,0,1,0,0
0.5181,3.6422,0.4758,2,7,0.5763,22,10,0.4847,0.7742,0.6665,0.3177,1,1,2,0
0.6448,4.3085,0.6982,0,2,0.2355,16,9,0.7108,0.8247,0.9278,0.1677,1,2,2,1
0.4914,9.5128,0.5073,3,5,0.4734,29,6,0.3957,0.6038,0.2734,0.8288,1,0,1,1
0.4977,6.6964,0.4048,4,5,0.8382,18,1,0.3277,0.0709,0.9007,0.5049,1,2,0,0
0.6796,7.488,0.7478,3,1,0.1849,18,8,0.533,0.8125,0.4378,0.8442,1,1,2,0
0.639,9.8464,0.5506,5,7,0.3221,49,8,0.5038,0.738,0.3017,0.9402,2,0,2,0
0.2958,7.8657,0.3153,2,7,0.4897,24,9,0.2292,0.5082,0.5001,0.0908,0,1,1,0
0.5268,4.6478,0.6502,2,6,0.775,27,14,0.1963,0.9416,0.7154,0.3193,0,2,2,0
0.7631,9.7205,0.6509,3,6,0.7374,24,19,0.9319,0.5753,0.7671,0.7028,2,2,1,0
0.5348,11.4562,0.4376,0,3,0.1044,34,1,0.5752,0.2035,0.6161,0.6078,1,1,0,1
0.5482,2.9499,0.6244,2,6,0.197,37,1,0.1863,0.6715,0.4193,0.7475,1,1,1,2
0.4673,8.2547,0.4716,3,2,0.6586,39,14,0.5229,0.3324,0.2059,0.8709,1,0,0,0
0.4803,4.8289,0.4728,5,8,0.3314,10,14,0.2719,0.5523,0.2524,0.9256,1,0,1,2
0.4246,4.5498,0.4812,4,4,0.2732,48,16,0.2961,0.1597,0.659,0.3917,0,1,0,1
0.3644,7.9646,0.4938,2,7,0.5575,35,3,0.4481,0.2808,0.4812,0.2319,0,1,0,0
0.4396,7.2787,0.343,2,10,0.8826,39,0,0.5279,0.6242,0.0972,0.422,1,0,1,0
0.5989,7.5284,0.6783,4,8,0.5084,45,2,0.8406,0.4797,0.2295,0.9175,2,0,1,0
0.5749,11.3344,0.6822,5,8,0.914,20,10,0.8719,0.2076,0.844,0.2082,1,2,0,0
0.4037,11.3549,0.5725,3,2,0.8085,27,10,0.0583,0.5612,0.1466,0.9347,1,0,1,0
0.2416,9.4515,0.3572,6,11,0.1667,40,11,0.1514,0.1962,0.463,0.2815,0,1,0,0
0.4906,4.2382,0.4573,4,9,0.2237,16,5,0.7943,0.5138,0.1281,0.6523,2,0,1,2
0.4495,5.7569,0.3458,5,7,0.4774,6,6,0.3218,0.7006,0.0603,0.6383,1,0,2,2
0.4304,9.3512,0.3737,2,6,0.5755,7,3,0.3299,0.1557,0.8745,0.3155,0,2,0,1
0.4502,6.1909,0.5641,0,6,0.6686,44,2,0.4737,0.5338,0.6477,0.2466,0,1,1,0
0.3947,3.6567,0.4117,1,5,0.554,26,2,0.1056,0.5429,0.5049,0.5654,0,1,1,1
0.508,5.6575,0.5678,4,5,0.7756,40,14,0.7778,0.4581,0.5119,0.4611,1,1,1,0
0.4192,5.7931,0.293,5,11,0.7305,47,1,0.0908,0.3601,0.1074,0.9447,1,0,0,0
0.6363,8.4488,0.726,3,3,0.5123,19,14,0.6313,0.4283,0.9436,0.3942,1,2,1,0
0.4661,8.5717,0.3947,3,8,0.5172,1,6,0.2106,0.5335,0.526,0.7051,1,1,1,1
0.479,9.5436,0.3847,0,2,0.8396,40,8,0.2728,0.3615,0.2981,0.8937,1,0,0,0
0.3279,3.7813,0.4581,0,5,0.8205,20,5,0.1408,0.0802,0.588,0.683,1,1,0,1
0.5448,3.0042,0.6031,1,3,0.6272,16,6,0.3103,0.7842,0.7084,0.337,0,2,2,1
0.6928,11.3867,0.687,4,3,0.6378,25,19,0.1049,0.9037,0.8417,0.8704,1,2,2,0
0.4291,9.9606,0.544,3,10,0.869,15,14,0.4247,0.1843,0.3888,0.729,1,0,0,0
0.3206,9.1081,0.4365,2,8,0.181,42,2,0.5516,0.1707,0.2686,0.233,0,0,0,1
0.6184,4.9961,0.6356,0,8,0.9092,24,17,0.5926,0.8363,0.2193,0.7355,1,0,2,0
0.5998,7.2968,0.6766,2,5,0.7367,10,18,0.9159,0.1556,0.9496,0.481,1,2,0,0
0.3768,11.1005,0.5623,2,6,0.3522,23,17,0.3733,0.2854,0.5115,0.4975,1,1,0,0
0.4095,5.4883,0.406,3,7,0.7917,8,7,0.2491,0.1813,0.2847,0.8913,1,0,0,0
0.6785,3.2773,0.687,2,8,0.6843,8,16,0.6664,0.2816,0.7894,0.9199,2,2,0,1
0.3719,5.8301,0.4735,1,8,0.8004,33,15,0.5379,0.6276,0.1029,0.0804,0,0,1,0
0.4055,1.5694,0.443,0,6,0.5241,24,10,0.0582,0.5052,0.3859,0.6061,0,0,1,0
0.536,2.5113,0.6201,1,5,0.1415,45,2,0.2973,0.9297,0.0654,0.7818,1,0,2,2
0.4574,8.6824,0.5081,4,9,0.8055,50,5,0.7837,0.2906,0.4072,0.3857,1,1,0,0
0.4072,6.0561,0.354,3,9,0.7452,9,10,0.7336,0.1342,0.3913,0.5474,1,0,0,0
0.2842,2.2807,0.3693,6,7,0.8793,24,1,0.1358,0.5253,0.0883,0.2403,0,0,1,1
0.5622,2.3078,0.6415,1,8,0.1543,36,8,0.0796,0.8859,0.333,0.9153,1,0,2,1
0.5479,11.7304,0.731,2,8,0.051,36,10,0.4002,0.8569,0.3486,0.73,1,0,2,0
0.6311,6.6513,0.5112,5,4,0.338,14,20,0.3565,0.7421,0.9094,0.407,0,2,2,1
0.5399,8.9726,0.5883,4,3,0.6022,4,3,0.6617,0.6446,0.1271,0.6068,1,0,1,1
0.2025,7.3248,0.1586,0,4,0.3876,9,9,0.1459,0.0547,0.3274,0.3739,0,0,0,1
0.3444,11.0047,0.3621,4,2,0.9293,4,18,0.1338,0.5882,0.342,0.3967,0,0,1,0
0.302,2.3077,0.3543,2,7,0.2391,21,10,0.3927,0.175,0.321,0.4938,1,0,0,1
0.3651,4.9602,0.3033,5,10,0.318,31,16,0.5844,0.226,0.1463,0.3242,1,0,0,1
0.5552,4.5602,0.5637,3,5,0.6602,48,19,0.9268,0.1725,0.3386,0.9026,2,0,0,0
0.4226,8.658,0.5022,6,5,0.5226,30,11,0.2682,0.3884,0.7848,0.4036,0,2,0,0
0.5614,8.15,0.6284,4,7,0.2299,20,10,0.6875,0.4446,0.3122,0.6736,1,0,1,0
0.565,7.2083,0.6016,2,8,0.7512,46,14,0.7602,0.1166,0.9416,0.4813,1,2,0,0
0.5223,11.8279,0.4953,2,7,0.6436,32,1,0.5332,0.6244,0.1265,0.7421,1,0,1,0
0.4258,6.1807,0.4544,5,6,0.3716,29,12,0.9191,0.4374,0.0595,0.2829,1,0,1,0
0.2609,2.9876,0.4097,3,2,0.2963,6,19,0.5004,0.3605,0.0721,0.1441,0,0,0,2
0.503,10.4164,0.4962,4,2,0.6156,41,2,0.4846,0.4785,0.4443,0.6771,1,1,1,0
0.4075,3.4367,0.5411,3,0,0.6085,12,8,0.9355,0.2695,0.207,0.1941,1,0,0,1
0.4738,2.1569,0.4048,5,2,0.0967,38,16,0.6027,0.2276,0.583,0.4,1,1,0,1
0.4822,7.6635,0.5392,5,6,0.3305,30,12,0.3434,0.4618,0.2861,0.8264,1,0,1,0
0.5556,3.422,0.5306,3,4,0.6588,6,6,0.7824,0.6854,0.3177,0.603,1,0,1,2
0.3715,6.6412,0.4135,2,5,0.1333,50,11,0.1741,0.3953,0.2172,0.622,0,0,0,0
0.2072,8.6893,0.3167,6,6,0.3948,25,10,0.0983,0.3731,0.0586,0.1729,0,0,0,0
0.29,9.2964,0.3469,4,1,0.7276,8,9,0.1244,0.0778,0.735,0.3129,0,2,0,0
0.5502,11.8926,0.4283,5,7,0.0973,36,11,0.1528,0.7476,0.791,0.3802,0,2,2,0
0.5531,3.9879,0.5312,3,3,0.7702,50,16,0.3179,0.9494,0.4548,0.3637,0,1,2,0
0.3916,4.4514,0.3727,2,7,0.5118,3,7,0.6897,0.6195,0.1994,0.1753,1,0,1,1
0.608,11.1471,0.5138,4,1,0.9429,48,16,0.3104,0.2906,0.8222,0.9369,1,2,0,0
0.6737,4.3215,0.7166,2,5,0.3935,24,12,0.8295,0.2747,0.6903,0.7956,2,1,0,1
0.4912,1.526,0.4399,4,7,0.7354,48,7,0.8421,0.1338,0.5141,0.3004,1,1,0,0
0.4009,4.3196,0.3519,2,6,0.7869,21,4,0.4626,0.6477,0.3724,0.107,0,0,1,1
0.4723,2.8045,0.4424,2,0,0.8148,39,9,0.5595,0.4868,0.3594,0.6643,1,0,1,0
0.5107,8.3732,0.4354,2,9,0.2379,47,5,0.9122,0.2321,0.6697,0.1687,1,1,0,1
0.376,6.5065,0.4664,1,7,0.1261,35,0,0.199,0.4067,0.325,0.6795,1,0,1,1
0.607,9.173,0.5478,2,8,0.0973,4,8,0.0584,0.676,0.7854,0.9393,1,2,1,1
0.5036,8.3252,0.39,4,6,0.4181,27,0,0.1734,0.7461,0.7278,0.1698,0,2,2,1
0.4833,5.5323,0.4498,2,1,0.9151,38,12,0.1862,0.4205,0.6679,0.824,1,1,1,0
0.4016,8.4133,0.4855,3,5,0.2866,35,17,0.2993,0.1258,0.5481,0.59,1,1,0,0
0.5445,7.7363,0.5228,5,10,0.5019,6,10,0.7231,0.316,0.0991,0.8581,2,0,0,0
0.5979,9.5889,0.6821,0,2,0.0159,38,19,0.8905,0.1688,0.8247,0.5615,2,2,0,0
0.377,2.3655,0.3894,4,3,0.5097,21,14,0.0858,0.1044,0.7604,0.5059,0,2,0,0
0.466,8.6511,0.46,4,7,0.0628,32,17,0.3289,0.5102,0.2329,0.7773,1,0,1,0
0.366,9.2769,0.4228,4,8,0.1135,15,15,0.8118,0.1021,0.1276,0.441,1,0,0,1
0.6172,4.322,0.5369,4,0,0.8421,6,16,0.1974,0.9077,0.5207,0.7547,1,1,2,1
0.4751,6.7459,0.3867,2,3,0.5385,23,7,0.7764,0.2948,0.1075,0.6911,2,0,0,0
0.4172,6.4535,0.3273,1,10,0.3638,43,5,0.1426,0.5665,0.7005,0.2556,0,2,1,1
0.7316,4.3482,0.7201,2,4,0.074,21,14,0.8217,0.5476,0.8726,0.7166,2,2,1,1
0.7405,10.3709,0.6123,3,0,0.3109,23,6,0.8617,0.2114,0.7739,0.9333,2,2,0,1
0.4269,3.5519,0.4784,5,3,0.8554,25,15,0.2306,0.5574,0.3235,0.6104,1,0,1,0
0.308,8.4017,0.3933,5,1,0.8066,48,0,0.0557,0.419,0.2597,0.3618,0,0,1,0
0.3967,10.9215,0.4249,4,4,0.4938,5,18,0.5268,0.2644,0.4928,0.1039,0,1,0,1
0.3719,11.6243,0.2586,2,4,0.2249,28,9,0.9271,0.1264,0.136,0.1702,1,0,0,0
0.6021,7.6394,0.5435,1,4,0.1476,10,16,0.7707,0.6807,0.7118,0.3363,1,2,1,1
0.5067,8.7036,0.4921,4,0,0.7851,6,3,0.4159,0.5323,0.9182,0.2369,0,2,1,1
0.3738,11.9021,0.4166,2,5,0.0295,34,5,0.8023,0.345,0.1321,0.2734,1,0,0,1
0.5234,2.8725,0.4624,2,6,0.7825,42,20,0.7233,0.2749,0.4658,0.7735,2,1,0,0
0.5194,2.8523,0.4833,4,3,0.8598,45,9,0.6302,0.5741,0.2829,0.7815,2,0,1,0
0.3624,3.3145,0.329,1,3,0.204,1,14,0.0884,0.4649,0.2012,0.5665,0,0,1,2
0.4307,4.4376,0.4542,1,9,0.1304,28,1,0.8451,0.0812,0.6073,0.2712,1,1,0,2
0.7185,6.5891,0.7651,2,3,0.867,18,11,0.5232,0.6177,0.772,0.7654,1,2,1,0
0.4409,9.5518,0.3277,6,1,0.9496,50,11,0.2118,0.337,0.2471,0.8562,1,0,0,0
0.6034,9.8726,0.7969,4,7,0.3371,11,17,0.6412,0.2899,0.7847,0.8755,2,2,0,1
0.6027,7.4179,0.4684,1,9,0.535,35,19,0.2085,0.5833,0.7756,0.6779,1,2,1,0
0.498,1.5072,0.4972,1,1,0.872,11,11,0.8435,0.493,0.3281,0.4914,1,0,1,1
0.633,10.388,0.7275,5,3,0.8176,46,15,0.6952,0.8769,0.8099,0.3412,1,2,2,0
0.4052,11.587,0.3809,1,10,0.6167,47,16,0.8977,0.406,0.1409,0.3216,1,0,1,0
0.6512,2.8372,0.5862,5,8,0.6924,15,14,0.6742,0.886,0.7583,0.2509,1,2,2,1
0.5965,7.4383,0.7165,1,7,0.8899,48,4,0.4024,0.9449,0.9187,0.0791,0,2,2,0
